experiment,metric,samples,mean_us,minimum_us,maximum_us,jitter_us,std_dev_us,deadline_us,deadline_misses,deadline_miss_rate_percent
E16_IPC_CONTROL_COMBINED_LOAD,VISION,10,20488.2,20222.0,20818.0,596.0,186.04,50000,0,0.0
E16_IPC_CONTROL_COMBINED_LOAD,IPC,10,7220.8,7008.0,7532.0,524.0,188.8,5000,10,100.0
E16_IPC_CONTROL_COMBINED_LOAD,CONTROL,10,0.0,0.0,0.0,0.0,0.0,80000,0,0.0
E16_IPC_CONTROL_COMBINED_LOAD,END_TO_END,10,31024.5,28162.0,32094.0,3932.0,1232.57,150000,0,0.0
