metric,samples,mean_us,minimum_us,maximum_us,jitter_us,std_dev_us,deadline_us,deadline_misses,deadline_miss_rate_percent
VISION,10,20587.9,20402.0,20914.0,512.0,151.71,50000,0,0.0
IPC,10,3152.9,2511.0,3800.0,1289.0,372.38,5000,0,0.0
CONTROL,10,71787.7,71251.0,72858.0,1607.0,441.0,80000,0,0.0
END_TO_END,10,98273.1,95456.0,100180.0,4724.0,1454.37,150000,0,0.0
