experiment,metric,samples,mean_us,minimum_us,maximum_us,jitter_us,std_dev_us,deadline_us,deadline_misses,deadline_miss_rate_percent
E18_SUSTAINED_ALL_HIGH_LOAD,VISION,10,45699.9,45314.0,46186.0,872.0,287.33,50000,0,0.0
E18_SUSTAINED_ALL_HIGH_LOAD,IPC,10,8101.8,7038.0,9723.0,2685.0,698.95,5000,10,100.0
E18_SUSTAINED_ALL_HIGH_LOAD,CONTROL,10,0.0,0.0,0.0,0.0,0.0,80000,0,0.0
E18_SUSTAINED_ALL_HIGH_LOAD,END_TO_END,10,62287.8,56960.0,71422.0,14462.0,4038.12,150000,0,0.0
