experiment,metric,samples,mean_us,minimum_us,maximum_us,jitter_us,std_dev_us,deadline_us,deadline_misses,deadline_miss_rate_percent
E21_IPC_DEADLINE_VIOLATION,VISION,10,20577.2,20340.0,20956.0,616.0,197.17,50000,0,0.0
E21_IPC_DEADLINE_VIOLATION,IPC,10,7832.2,7062.0,8192.0,1130.0,401.57,5000,10,100.0
E21_IPC_DEADLINE_VIOLATION,CONTROL,10,0.0,0.0,0.0,0.0,0.0,80000,0,0.0
E21_IPC_DEADLINE_VIOLATION,END_TO_END,10,33947.2,29226.0,38296.0,9070.0,2791.99,150000,0,0.0
